Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.15,0.09,0.13,0.09
OPM,0.34,0.01,0.13,0.09
RBM,0.01,0.00,0.13,0.09
SHB,0.07,0.03,0.13,0.09
RPD,0.21,0.31,0.13,0.09
BUA,0.84,0.33,0.13,0.09
BSG,0.55,0.82,0.13,0.09
WTR,0.22,0.30,0.13,0.09
