Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.08,1.42,0.44,1.47
MNG,0.13,0.49,0.44,1.47
OPM,1.25,2.18,0.44,1.47
RBM,2.37,4.26,0.44,1.47
RPD,2.63,3.36,0.44,1.47
BUA,0.93,2.94,0.44,1.47
BSG,0.49,1.33,0.44,1.47
WTR,0.00,0.02,0.44,1.47
