Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.03,0.22,0.11,0.45
MNG,0.00,0.01,0.11,0.45
OPM,0.03,0.70,0.11,0.45
SHB,0.30,1.00,0.11,0.45
RPD,0.01,0.13,0.11,0.45
BUA,0.00,0.06,0.11,0.45
BSG,0.00,0.05,0.11,0.45
WTR,0.00,0.00,0.11,0.45
