Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
11, 4, 1, Non-Forest, Forest, 68, 
11, 4, 2, Non-Forest, Other Vegetation, 4, 
11, 4, 3, Non-Forest, Cropland, 29, 
11, 4, 4, Non-Forest, Non-Forest, 1506551, 
12, 1, 1, Forest, Forest, 522417, 
12, 1, 2, Forest, Other Vegetation, 18081, 
12, 1, 3, Forest, Cropland, 510, 
12, 1, 4, Forest, Non-Forest, 27, 
12, 2, 1, Other Vegetation, Forest, 201, 
12, 2, 2, Other Vegetation, Other Vegetation, 515852, 
12, 2, 3, Other Vegetation, Cropland, 542, 
12, 2, 4, Other Vegetation, Non-Forest, 2, 
12, 3, 1, Cropland, Forest, 12, 
12, 3, 2, Cropland, Other Vegetation, 1, 
12, 3, 3, Cropland, Cropland, 330840, 
12, 3, 4, Cropland, Non-Forest, 22, 
12, 4, 1, Non-Forest, Forest, 27, 
12, 4, 2, Non-Forest, Other Vegetation, 9, 
12, 4, 3, Non-Forest, Cropland, 40, 
12, 4, 4, Non-Forest, Non-Forest, 1506531, 
13, 1, 1, Forest, Forest, 521602, 
13, 1, 2, Forest, Other Vegetation, 955, 
13, 1, 3, Forest, Cropland, 85, 
13, 1, 4, Forest, Non-Forest, 15, 
13, 2, 1, Other Vegetation, Forest, 151, 
13, 2, 2, Other Vegetation, Other Vegetation, 533626, 
13, 2, 3, Other Vegetation, Cropland, 159, 
13, 2, 4, Other Vegetation, Non-Forest, 7, 
13, 3, 1, Cropland, Forest, 0, 
13, 3, 2, Cropland, Other Vegetation, 0, 
13, 3, 3, Cropland, Cropland, 331869, 
13, 3, 4, Cropland, Non-Forest, 63, 
13, 4, 1, Non-Forest, Forest, 87, 
13, 4, 2, Non-Forest, Other Vegetation, 12, 
13, 4, 3, Non-Forest, Cropland, 74, 
13, 4, 4, Non-Forest, Non-Forest, 1506409, 
14, 1, 1, Forest, Forest, 521418, 
14, 1, 2, Forest, Other Vegetation, 365, 
14, 1, 3, Forest, Cropland, 51, 
14, 1, 4, Forest, Non-Forest, 6, 
14, 2, 1, Other Vegetation, Forest, 363, 
14, 2, 2, Other Vegetation, Other Vegetation, 533993, 
14, 2, 3, Other Vegetation, Cropland, 235, 
14, 2, 4, Other Vegetation, Non-Forest, 2, 
14, 3, 1, Cropland, Forest, 5, 
14, 3, 2, Cropland, Other Vegetation, 0, 
14, 3, 3, Cropland, Cropland, 332121, 
14, 3, 4, Cropland, Non-Forest, 61, 
14, 4, 1, Non-Forest, Forest, 111, 
14, 4, 2, Non-Forest, Other Vegetation, 3, 
14, 4, 3, Non-Forest, Cropland, 0, 
14, 4, 4, Non-Forest, Non-Forest, 1506380, 
15, 1, 1, Forest, Forest, 520542, 
