"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"63",11,"2002-2003","Shrubland","Loss",98,0.22,0.2,88,10,10.48,0,0.03
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.2,2,2,0,100,0.03
"65",11,"2002-2003","Cropland","Loss",7,0.07,0.2,20,13,0,65.84,0.03
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.2,2,2,0,100,0.03
"67",12,"2003-2004","Forest","Loss",3945,4.71,2.53,2071,1874,47.5,0,1.18
"68",12,"2003-2004","Mosaic Vegetation","Loss",8,0.04,2.53,473,465,0,98.31,1.18
"69",12,"2003-2004","Shrubland","Loss",47,0.11,2.53,1137,1090,0,95.87,1.18
"70",12,"2003-2004","Other Vegetation","Loss",0,0,2.53,22,22,0,100,1.18
"71",12,"2003-2004","Cropland","Loss",0,0,2.53,265,265,0,100,1.18
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,2.53,32,32,0,100,1.18
"73",13,"2004-2005","Forest","Loss",74,0.09,0.08,64,10,14.05,0,0.02
"74",13,"2004-2005","Mosaic Vegetation","Loss",0,0,0.08,15,15,0,100,0.02
"75",13,"2004-2005","Shrubland","Loss",52,0.11,0.08,37,15,27.95,0,0.02
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"77",13,"2004-2005","Cropland","Loss",0,0,0.08,8,8,0,100,0.02
"78",13,"2004-2005","Non-Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"79",14,"2005-2006","Forest","Loss",52,0.07,0.14,112,60,0,53.61,0.06
"80",14,"2005-2006","Mosaic Vegetation","Loss",7,0.04,0.14,27,20,0,73.78,0.06
"81",14,"2005-2006","Shrubland","Loss",163,0.35,0.14,66,97,59.59,0,0.06
"82",14,"2005-2006","Other Vegetation","Loss",0,0,0.14,1,1,0,100,0.06
"83",14,"2005-2006","Cropland","Loss",0,0,0.14,14,14,0,100,0.06
"84",14,"2005-2006","Non-Vegetation","Loss",0,0,0.14,2,2,0,100,0.06
"85",15,"2006-2007","Forest","Loss",239,0.3,0.19,150,89,37.09,0,0.06
"86",15,"2006-2007","Mosaic Vegetation","Loss",1,0.01,0.19,36,35,0,97.22,0.06
"87",15,"2006-2007","Shrubland","Loss",56,0.12,0.19,88,32,0,36.65,0.06
"88",15,"2006-2007","Other Vegetation","Loss",0,0,0.19,2,2,0,100,0.06
"89",15,"2006-2007","Cropland","Loss",2,0.02,0.19,19,17,0,89.67,0.06
"90",15,"2006-2007","Non-Vegetation","Loss",0,0,0.19,2,2,0,100,0.06
"91",16,"2007-2008","Forest","Loss",116,0.15,0.18,141,25,0,17.81,0.03
"92",16,"2007-2008","Mosaic Vegetation","Loss",17,0.09,0.18,34,17,0,49.86,0.03
"93",16,"2007-2008","Shrubland","Loss",135,0.29,0.18,83,52,38.47,0,0.03
"94",16,"2007-2008","Other Vegetation","Loss",0,0,0.18,2,2,0,100,0.03
"95",16,"2007-2008","Cropland","Loss",12,0.12,0.18,18,6,0,33.97,0.03
"96",16,"2007-2008","Non-Vegetation","Loss",0,0,0.18,2,2,0,100,0.03
"97",17,"2008-2009","Forest","Loss",152,0.19,0.15,121,31,20.17,0,0.02
"98",17,"2008-2009","Mosaic Vegetation","Loss",13,0.07,0.15,29,16,0,55.68,0.02
"99",17,"2008-2009","Shrubland","Loss",65,0.14,0.15,71,6,0,8.98,0.02
"100",17,"2008-2009","Other Vegetation","Loss",0,0,0.15,1,1,0,100,0.02
"101",17,"2008-2009","Cropland","Loss",11,0.11,0.15,16,5,0,29.99,0.02
"102",17,"2008-2009","Non-Vegetation","Loss",0,0,0.15,2,2,0,100,0.02
"103",18,"2009-2010","Forest","Loss",198,0.25,0.24,195,3,1.67,0,0.03
"104",18,"2009-2010","Mosaic Vegetation","Loss",29,0.15,0.24,47,18,0,38.77,0.03
"105",18,"2009-2010","Shrubland","Loss",150,0.32,0.24,115,35,23.63,0,0.03
"106",18,"2009-2010","Other Vegetation","Loss",5,0.58,0.24,2,3,57.64,0,0.03
"107",18,"2009-2010","Cropland","Loss",5,0.05,0.24,25,20,0,80.21,0.03
"108",18,"2009-2010","Non-Vegetation","Loss",0,0,0.24,3,3,0,100,0.03
"109",19,"2010-2011","Forest","Loss",215,0.27,0.18,145,70,32.74,0,0.05
"110",19,"2010-2011","Mosaic Vegetation","Loss",5,0.03,0.18,35,30,0,85.89,0.05
"111",19,"2010-2011","Shrubland","Loss",55,0.12,0.18,85,30,0,35.53,0.05
