Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
14,3,Shrubland,163,0.35,0.14,66,97,59.59,0.00,0.06
14,4,Other Vegetation,0,0.00,0.14,1,1,0.00,100.00,0.06
14,5,Cropland,0,0.00,0.14,14,14,0.00,100.00,0.06
14,6,Non-Vegetation,0,0.00,0.14,2,2,0.00,100.00,0.06
15,1,Forest,239,0.30,0.19,150,89,37.09,0.00,0.06
15,2,Mosaic Vegetation,1,0.01,0.19,36,35,0.00,97.22,0.06
15,3,Shrubland,56,0.12,0.19,88,32,0.00,36.65,0.06
15,4,Other Vegetation,0,0.00,0.19,2,2,0.00,100.00,0.06
15,5,Cropland,2,0.02,0.19,19,17,0.00,89.67,0.06
15,6,Non-Vegetation,0,0.00,0.19,2,2,0.00,100.00,0.06
16,1,Forest,116,0.15,0.18,141,25,0.00,17.81,0.03
16,2,Mosaic Vegetation,17,0.09,0.18,34,17,0.00,49.86,0.03
16,3,Shrubland,135,0.29,0.18,83,52,38.47,0.00,0.03
16,4,Other Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.03
16,5,Cropland,12,0.12,0.18,18,6,0.00,33.97,0.03
16,6,Non-Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.03
17,1,Forest,152,0.19,0.15,121,31,20.17,0.00,0.02
17,2,Mosaic Vegetation,13,0.07,0.15,29,16,0.00,55.68,0.02
17,3,Shrubland,65,0.14,0.15,71,6,0.00,8.98,0.02
17,4,Other Vegetation,0,0.00,0.15,1,1,0.00,100.00,0.02
17,5,Cropland,11,0.11,0.15,16,5,0.00,29.99,0.02
17,6,Non-Vegetation,0,0.00,0.15,2,2,0.00,100.00,0.02
18,1,Forest,198,0.25,0.24,195,3,1.67,0.00,0.03
18,2,Mosaic Vegetation,29,0.15,0.24,47,18,0.00,38.77,0.03
18,3,Shrubland,150,0.32,0.24,115,35,23.63,0.00,0.03
18,4,Other Vegetation,5,0.58,0.24,2,3,57.64,0.00,0.03
18,5,Cropland,5,0.05,0.24,25,20,0.00,80.21,0.03
18,6,Non-Vegetation,0,0.00,0.24,3,3,0.00,100.00,0.03
