CLASS_ID,LC_TYPE,YEAR,B1,B2,B3,B4,B5,B7,B6_B10,B6_B11,EVI,HH,HH_ASM,HH_CON,HH_COR,HH_DIS,HH_ENT,HH_IDM,HH_SAVG,HH_VAR,LSWI,NDTI,NDVI,SATVI,Random
0,FOR,1995,0.083183885,0.05982188,0.038397085,0.13960786,0.04932505,0.019087294,293.3249,293.3249,0.339127638626419000,-4.402662000000000000,0.104166666666666000,984602.687500000000000000,-0.050274272471191600,764.812500000000000000,2.282174095733910000,0.000015415119775384,-9875.812500000000000000,481904.013454858000000000,0.47785646,0.44199267,0.5685841,0.06347929,0.194241136
0,FOR,1995,0.08594185,0.06333274,0.04137841,0.1321174,0.051906943,0.023138177,292.87924,292.87924,0.308290433812780000,-4.718449600000000000,0.104166666666666000,1118457.083333330000000000,0.061406938961870400,817.125000000000000000,2.282174095733910000,0.000048418068452571,-9883.875000000000000000,620436.064236111000000000,0.43586874,0.38335294,0.52300394,0.059288417,0.334380467
0,FOR,1995,0.086648755,0.06684359,0.04137841,0.19924209,0.0717512,0.025495071,293.3249,293.3249,0.494779335360866000,-5.254143000000000000,0.104166666666666000,1312410.895833330000000000,-0.249151007223022000,983.062500000000000000,2.282174095733910000,0.000236758583949095,-11049.895833333300000000,529213.952690969000000000,0.47045773,0.47565967,0.6560691,0.15494277,0.133748134
0,FOR,1995,0.088381186,0.06333274,0.04137841,0.16552667,0.052826006,0.027761491,292.87924,292.87924,0.413310508406241000,-6.479826000000000000,0.104166666666666000,1296613.854166660000000000,0.067864587183755900,948.312500000000000000,2.282174095733910000,0.000081097686365224,-11420.562500000000000000,710050.308593746000000000,0.5161405,0.31102237,0.6000252,0.064022519,0.566287443
0,FOR,1995,0.093253724,0.06682459,0.047341052,0.18490134,0.07516141,0.034441035,293.76892,293.76892,0.446888546552160000,-5.077484000000000000,0.104166666666666000,820007.395833333000000000,0.000645616211095430,768.229166666666000000,2.282174095733910000,0.000043774332114423,-10296.229166666600000000,423567.971788194000000000,0.4219748,0.371528,0.5923134,0.135384185,0.078910793
0,FOR,1995,0.090566434,0.06333274,0.047341052,0.18682745,0.06785453,0.030596267,293.76892,293.76892,0.440506264095417000,-6.274895700000000000,0.104166666666666000,805020.875000000000000000,-0.043465913920120800,778.791666666666000000,2.282174095733910000,0.000042350485416598,-11079.541666666600000000,384846.750868057000000000,0.46714306,0.3784455,0.59566677,0.103399002,0.510526512
0,FOR,1995,0.091425754,0.064282514,0.046806563,0.18682745,0.07294593,0.03122574,293.76892,293.76892,0.447652182744180000,-5.041534400000000000,0.104166666666666000,858307.541666666000000000,0.183039274047619000,803.625000000000000000,2.282174095733910000,0.000048429862660354,-10316.000000000000000000,562869.780381944000000000,0.43838796,0.40049458,0.59931725,0.128986903,0.07943768
0,FOR,1995,0.08959779,0.06336503,0.047341052,0.18682745,0.07073045,0.029293604,293.76892,293.76892,0.436500459849730000,-6.181040300000000000,0.104166666666666000,560096.187500000000000000,-0.274035772298109000,605.812500000000000000,2.282174095733910000,0.000070294487447068,-11547.354166666600000000,221937.978732638000000000,0.45076078,0.4142688,0.59566677,0.116410237,0.235673314
0,FOR,1995,0.091425754,0.064282514,0.044359732,0.17821127,0.07959238,0.031944863,293.3249,293.3249,0.441069209095204000,-5.143540400000000000,0.104166666666666000,714351.958333333000000000,0.291455368090229000,705.458333333333000000,2.282174095733910000,0.000023854159278299,-10676.958333333300000000,482102.258680556000000000,0.38253492,0.4271893,0.60138804,0.170541631,0.779624416
0,FOR,1995,0.08959779,0.06333274,0.044359732,0.18688163,0.07423173,0.03136144,293.3249,293.3249,0.456183012054538000,-6.093104400000000000,0.104166666666666000,477844.083333333000000000,-0.300880148335805000,544.750000000000000000,2.282174095733910000,0.000045743053552651,-11635.500000000000000000,184546.031250000000000000,0.43142143,0.40599492,0.61633396,0.148179538,0.359974767
0,FOR,1995,0.09783821,0.07713631,0.053260837,0.26513666,0.11163749,0.04443108,293.3249,293.3249,0.622493999845579000,-5.239496700000000000,0.104166666666666000,512579.229166666000000000,0.097012081114627700,625.437500000000000000,2.282174095733910000,0.000020637155514282,-10718.937500000000000000,287937.789496527000000000,0.40740368,0.43062103,0.6654444,0.23751546,0.964095707
0,FOR,1995,0.0958067,0.072138354,0.050100185,0.21422641,0.08245638,0.030959994,293.3249,293.3249,0.515292334918772000,-5.803416300000000000,0.104166666666666000,1003715.979166660000000000,-0.215067342232786000,885.395833333333000000,2.282174095733910000,0.000003562359297499,-11782.395833333300000000,429063.249565970000000000,0.4441445,0.4540472,0.6209221,0.150892067,0.715330146
0,FOR,1995,0.09658643,0.075704485,0.050059106,0.2306101,0.09390558,0.034327768,293.3249,293.3249,0.559628346087255000,-5.334684400000000000,0.104166666666666000,1318656.416666660000000000,-0.340759802025476000,997.458333333333000000,2.282174095733910000,0.000106657765852729,-12134.708333333300000000,499223.269965281000000000,0.42125705,0.46460468,0.6432875,0.194612379,0.878404023
0,FOR,1995,0.09715894,0.0755077,0.0518779,0.23444942,0.09978884,0.03600847,293.3249,293.3249,0.558647422318654000,-4.937970600000000000,0.104166666666666000,718138.041666666000000000,0.118036720657692000,728.458333333333000000,2.282174095733910000,0.000029261697999844,-10475.666666666600000000,433190.646701385000000000,0.402888,0.46967328,0.6376322,0.205984432,0.677553001
