Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.00,0.00,0.00,0.01
MNG,0.03,0.03,0.00,0.01
OPM,0.00,0.00,0.00,0.01
RBM,0.01,0.00,0.00,0.01
SHB,0.00,0.00,0.00,0.01
RPD,0.15,0.00,0.00,0.01
BUA,0.00,0.00,0.00,0.01
WTR,0.06,0.47,0.00,0.01
