Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,2.12,0.17,2.01
MNG,1.28,2.58,2.01
OPM,4.30,4.88,2.01
RBM,4.61,4.86,2.01
SHB,1.33,3.04,2.01
RPD,4.25,4.08,2.01
BUA,5.00,5.00,2.01
BSG,4.08,4.44,2.01
WTR,0.74,0.11,2.01
