system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_2_46_1,296.22977,0.10487843,0.09478988,0.06816624,0.32249606,0.20811003,0.09506695,4,0.6728976639823634,-7.7360406,0.10416666666666669,1699583.7916666667,0.13205470839362543,1041.8333333333333,2.2821740957339185,1.5117547505648778E-5,-16667.625,974340.8203125,0.21557616,0.37286168,0.6510222,0.39143089148872573,0.40050187310956353,
1_1_1_1_2_47_0,298.48834,0.10081343,0.09223178,0.0854802,0.29543436,0.2242414,0.11805247,4,0.4988386370744416,-8.210177,0.10416666666666669,499923.125,-0.16284552688506532,588.3333333333333,2.2821740957339185,1.405297919753526E-4,-15895.166666666668,211547.94184028544,0.13699494,0.3102274,0.5511844,0.35254859719325793,0.027419163106505162,
1_1_1_1_2_47_1,298.36954,0.09610164,0.08512379,0.05978574,0.29439834,0.17154892,0.07962306,4,0.6290890869565079,-7.3609543,0.10416666666666669,533089.7083333334,0.010554421038053902,622.0,2.2821740957339185,8.230512890101264E-6,-14714.5,260110.70486111753,0.26365522,0.36598772,0.662403,0.3576143691514385,0.027419163106505162,
1_1_1_1_2_47_2,298.39215,0.09430149,0.07916714,0.051432386,0.2898126,0.14530681,0.060579825,4,0.6687464321860475,-7.583682,0.10416666666666669,269392.9166666667,0.16752436934422343,454.79166666666663,2.2821740957339185,1.3934984940890873E-4,-15071.0,171526.8255208321,0.33210605,0.4115225,0.69856036,0.3384063181981339,0.027419163106505162,
1_1_1_2_3_0,302.6779,0.11889071,0.11055951,0.1224678,0.2690631,0.3166367,0.18051887,5,0.32951955533322697,-16.042734,0.10416666666666669,4361305.6875,0.21537129564974378,1819.6041666666665,2.2821740957339185,9.074087765635019E-7,-30044.8125,2643518.4822048843,-0.081225276,0.27379325,0.37441564,0.36367758239784415,0.7550701635109168,
1_1_1_2_3_1,301.99527,0.11854079,0.106676,0.11449148,0.27773514,0.3190987,0.17842719,5,0.37941476426336485,-13.106411,0.10416666666666669,5207944.25,0.057244257834839746,1952.2083333333335,2.2821740957339185,2.093410461953563E-6,-28202.25,2812423.075520873,-0.069304995,0.2827421,0.4161973,0.3875899788685367,0.7550701635109168,
1_1_1_2_3_2,302.83136,0.1218083,0.11136299,0.12850542,0.2834664,0.35201037,0.21173258,5,0.3395477027927824,-14.933332,0.10416666666666669,5275641.645833333,0.1226264310702269,1907.9375,2.2821740957339185,4.442941109874402E-6,-26312.854166666668,2953252.3693576455,-0.10786228,0.2488329,0.3761446,0.38275237876388557,0.7550701635109168,
1_1_1_2_3_3,303.13992,0.12480068,0.11776108,0.12662041,0.27564338,0.33830887,0.20597214,5,0.338885504057167,-16.994148,0.10416666666666669,3514409.6874999995,-0.0909772824168319,1626.2708333333333,2.2821740957339185,2.5577555568472672E-5,-32036.479166666668,1654679.2391493246,-0.102069,0.24314046,0.3704608,0.37359781013545246,0.7550701635109168,
1_1_1_2_3_4,301.99527,0.11854079,0.106676,0.11449148,0.27773514,0.3190987,0.17842719,5,0.37941476426336485,-14.709846,0.10416666666666669,2591070.0625,-0.13905211615841423,1257.4375,2.2821740957339185,6.434635612011012E-5,-30399.104166666664,1130563.155816026,-0.069304995,0.2827421,0.4161973,0.3875899788685367,0.7550701635109168,
1_1_1_2_3_5,302.83136,0.1218083,0.11136299,0.12850542,0.2834664,0.35201037,0.21173258,5,0.3395477027927824,-15.317221,0.10416666666666669,3120622.7291666665,-0.2142749239535498,1408.5208333333333,2.2821740957339185,3.96977694079458E-5,-28651.979166666664,1382823.6662326902,-0.10786228,0.2488329,0.3761446,0.38275237876388557,0.7550701635109168,
1_1_1_2_3_6,303.13992,0.12480068,0.11776108,0.12662041,0.27564338,0.33830887,0.20597214,5,0.338885504057167,-15.81088,0.10416666666666669,3099942.9375,0.16697915656772447,1476.6875,2.2821740957339185,0.006328605502668009,-31292.6875,1840867.7617187724,-0.102069,0.24314046,0.3704608,0.37359781013545246,0.7550701635109168,
1_1_1_2_3_7,303.11597,0.12826674,0.11748403,0.12541032,0.2796281,0.34587455,0.21229969,5,0.3602917846205569,-15.769255,0.10416666666666669,2153440.458333333,-5.756767418141073E-4,1217.4166666666665,2.2821740957339185,1.1605614744939724E-4,-29929.375,1103608.3246528134,-0.10590915,0.23930675,0.3807485,0.38353616854705463,0.7550701635109168,
1_1_1_2_3_8,303.0109,0.12706435,0.11922951,0.12971225,0.28229573,0.3594874,0.21874434,5,0.3444052878395238,-14.750564,0.10416666666666669,5335757.1875,0.06899289402764269,1644.8541666666667,2.2821740957339185,3.953738829805219E-5,-28167.229166666664,2660444.9561632127,-0.12027689,0.24340254,0.37034106,0.38632348465576866,0.7550701635109168,
1_1_1_2_5_0,302.4933,0.120299056,0.11550628,0.12755413,0.27176455,0.30003315,0.20281714,5,0.3176870670007281,-19.358175,0.10416666666666669,2403310.8541666665,-0.29260213565811233,1292.4375,2.2821740957339185,5.0716283733756246E-6,-37755.52083333333,897464.0828993022,-0.049438123,0.19332993,0.36114118,0.3264598566211734,0.17309782304379528,
1_1_1_2_5_1,302.43042,0.12447035,0.115367934,0.11881749,0.262681,0.27378833,0.18802693,5,0.34514266491351875,-18.469107,0.10416666666666669,4314248.25,0.12100989464374973,1287.2083333333333,2.2821740957339185,6.761475350731742E-6,-36223.25,2235907.1631944627,-0.020704493,0.18570499,0.37710112,0.3164773319518035,0.17309782304379528,
1_1_1_2_5_2,303.18567,0.13375343,0.1265528,0.14777103,0.27701822,0.31594944,0.20892031,5,0.2784314860729461,-18.123123,0.10416666666666669,2.772696635416667E7,0.32732176983723194,3425.2291666666665,2.2821740957339185,0.0024085770966288216,-31507.520833333332,1.6119229265191011E7,-0.06565488,0.2039156,0.30426192,0.29700590250681425,0.17309782304379528,
1_1_1_2_5_3,302.47815,0.12153156,0.11173912,0.11723988,0.25840643,0.3081169,0.20505206,5,0.33599596535024134,-19.19544,0.10416666666666669,1752585.5208333335,-0.16302369473662595,1050.4791666666665,2.2821740957339185,6.187032799586015E-6,-37350.1875,795766.4509548694,-0.087746575,0.20083998,0.37579647,0.3624106080661107,0.17309782304379528,
