Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.07,0.07
MNG,0.09,0.06,0.07,0.07
OPM,0.02,0.00,0.07,0.07
RBM,0.03,0.01,0.07,0.07
SHB,0.19,0.04,0.07,0.07
BUA,0.25,0.55,0.07,0.07
BSG,0.22,2.05,0.07,0.07
WTR,0.01,0.02,0.07,0.07
