"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",81767,1399,0,13909,553,112696,11,4,63372
"BUA",505,7115,4,174,238,3068,10,344,130
"FOR",775,1076,3441238,4240,261320,271555,592181,916106,2319
"MNG",1725,13046,19161,160369,136941,271459,136336,201409,2723
"OPM",86,38,9873,1839,16061,9009,7196,1278,196
"RPD",98908,26315,4142,42262,27078,3947518,43296,65495,145230
"RBR",235,13,29185,99,7814,51196,145608,36451,537
"SHB",299,19386,100431,2450,34600,404829,187690,439005,600
"WTR",39463,1418,16,9632,1608,37277,28,122,114116
