"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",65511,962,24,3613,180,105745,37,53,47638
"BUA",722,12715,106,294,1130,50348,412,2988,1091
"FOR",655,66,3319108,1413,38502,25565,154710,63931,100
"MNG",1274,163,394,76506,35597,91795,12245,5341,11659
"OPM",361,115,26129,3242,268696,73953,90728,20790,2199
"RPD",45743,8748,74122,30475,94899,4255820,487337,68971,42492
"RBR",373,17,103181,675,124129,95085,775229,13575,92
"SHB",1117,754,425788,948,285088,261026,410933,273772,788
"WTR",78561,319,6,667,44,60149,8,2,189467
