From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 5, static_var/Bio11, 265, 0, 
3, 5, static_var/Bio12, 0, 0, 
3, 5, static_var/Bio12, 1700, 0, 
3, 5, static_var/Bio12, 1800, 0, 
3, 5, static_var/Bio12, 2000, 0, 
3, 5, static_var/Bio12, 2200, 0, 
3, 5, static_var/Bio12, 2300, 0, 
3, 5, static_var/Bio12, 2400, 0, 
3, 5, static_var/Bio12, 2500, 0, 
3, 5, static_var/Bio12, 2900, 0, 
3, 5, static_var/Bio12, 3000, 0, 
3, 5, static_var/Bio12, 4200, 0, 
3, 5, static_var/Bio12, 4300, 0, 
3, 5, static_var/Bio12, 4400, 0, 
3, 5, static_var/Bio12, 4600, 0, 
3, 5, static_var/Bio12, 4700, 0, 
3, 5, static_var/Bio12, 5300, 0, 
3, 5, static_var/Bio12, 5500, 0, 
3, 5, static_var/Bio12, 5700, 0, 
3, 5, static_var/Bio12, 5800, 0, 
3, 5, static_var/Bio12, 5900, 0, 
3, 5, static_var/Bio12, 6000, 0, 
3, 5, static_var/Bio12, 6100, 0, 
3, 5, static_var/Bio12, 6200, 0, 
3, 5, static_var/Bio13, 0, 0, 
3, 5, static_var/Bio13, 300, 0, 
3, 5, static_var/Bio13, 350, 0, 
3, 5, static_var/Bio13, 450, 0, 
3, 5, static_var/Bio13, 500, 0, 
3, 5, static_var/Bio13, 600, 0, 
3, 5, static_var/Bio13, 650, 0, 
3, 5, static_var/Bio13, 700, 0, 
3, 5, static_var/Bio13, 950, 0, 
3, 5, static_var/Bio13, 1000, 0, 
3, 5, static_var/Bio13, 1100, 0, 
3, 5, static_var/Bio13, 1400, 0, 
3, 5, static_var/Bio13, 1450, 0, 
3, 5, static_var/Bio13, 1650, 0, 
3, 5, static_var/Bio13, 1700, 0, 
3, 5, static_var/Bio13, 1750, 0, 
3, 5, static_var/Bio14, 0, 0, 
3, 5, static_var/Bio14, 5, 0, 
3, 5, static_var/Bio14, 10, 0, 
3, 5, static_var/Bio14, 20, 0, 
3, 5, static_var/Bio14, 25, 0, 
3, 5, static_var/Bio14, 50, 0, 
3, 5, static_var/Bio14, 55, 0, 
3, 5, static_var/Bio15, 0, 0, 
3, 5, static_var/Bio15, 65, 0, 
3, 5, static_var/Bio15, 70, 0, 
3, 5, static_var/Bio15, 75, 0, 
3, 5, static_var/Bio15, 80, 0, 
3, 5, static_var/Bio15, 85, 0, 
3, 5, static_var/Bio15, 90, 0, 
3, 5, static_var/Bio15, 95, 0, 
3, 5, static_var/Bio15, 105, 0, 
3, 5, static_var/Bio15, 110, 0, 
3, 5, static_var/Bio16, 0, 0, 
3, 5, static_var/Bio16, 800, 0, 
3, 5, static_var/Bio16, 900, 0, 
3, 5, static_var/Bio16, 1000, 0, 
3, 5, static_var/Bio16, 1100, 0, 
3, 5, static_var/Bio16, 1200, 0, 
3, 5, static_var/Bio16, 1300, 0, 
3, 5, static_var/Bio16, 1600, 0, 
3, 5, static_var/Bio16, 1700, 0, 
3, 5, static_var/Bio16, 3000, 0, 
3, 5, static_var/Bio16, 3100, 0, 
