Class	PixelSum	Percentage %	Area [degree^2]
10.0	288217	24.6403549643	2.09324315947
11.0	27838	2.37993665015	0.20217996535
20.0	32455	2.77465493141	0.235712004291
30.0	14872	1.27144255554	0.108011367364
40.0	31302	2.67608222656	0.227338072972
50.0	290916	24.8710988762	2.11284527623
60.0	127502	10.9004484075	0.926013001727
61.0	174	0.0148756727181	0.0012637155676
70.0	84239	7.20179192012	0.611805377582
100.0	110255	9.42596146859	0.800752643138
110.0	33	0.00282124827412	0.000239670193856
120.0	77352	6.61300595454	0.561786934398
121.0	61870	5.28941305212	0.449345299814
122.0	9	0.000769431347488	6.53645983243e-05
130.0	3702	0.316492760933	0.0268866381107
150.0	5	0.000427461859716	3.63136657357e-05
170.0	135	0.0115414702123	0.000980468974865
180.0	492	0.042062246996	0.0035732647084
190.0	265	0.0226554785649	0.00192462428399
200.0	11	0.000940416091374	7.98900646186e-05
210.0	18051	1.54322280595	0.131099596039
