"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",21490,8981,166,2767,57,170952,42,13,27998
"BUA",2003,116177,277,632,1797,193956,173,3273,3372
"FOR",7,2,626799,512,793,18032,4300,50937,12254
"MNG",639,378,85,14273,6117,108970,165,505,27905
"OPM",231,1315,17342,2737,40057,101773,12433,4693,1947
"RPD",97338,143147,24774,16466,35960,7371762,57672,41632,105017
"RBR",21,3,21247,69,20203,46858,30833,3005,121
"SHB",656,437,171945,692,36025,275606,12133,214010,3359
"WTR",1792,162,2534,2712,281,42447,36,186,242228
