"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",25278,2652,8,958,25,55201,3,8,3409
"BUA",812,57065,463,311,147,4898,0,385,548
"FOR",409,258,614677,621,34910,18307,33869,168082,10979
"MNG",989,7637,4811,39083,48501,68237,26780,16042,13565
"OPM",32,75,1,84,2873,1580,118,4,16
"RPD",183354,231982,3082,104349,62900,7385974,17682,105441,75999
"RBR",78,80,7167,74,7061,12758,22109,15202,301
"SHB",1948,19236,83180,3270,25622,321365,21782,409644,7172
"WTR",19566,2675,247,10287,489,25448,17,55,180389
