Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.00,0.00,0.11,0.01
MNG,0.28,0.05,0.11,0.01
OPM,0.02,0.00,0.11,0.01
RBM,0.01,0.00,0.11,0.01
SHB,0.07,0.01,0.11,0.01
RPD,2.36,0.08,0.11,0.01
BUA,1.74,0.81,0.11,0.01
WTR,0.89,0.48,0.11,0.01
