Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.01,0.00,0.12,0.02
MNG,0.26,0.05,0.12,0.02
OPM,0.02,0.00,0.12,0.02
RBM,0.02,0.00,0.12,0.02
SHB,0.07,0.01,0.12,0.02
RPD,2.41,0.08,0.12,0.02
BUA,1.74,0.85,0.12,0.02
WTR,0.82,0.42,0.12,0.02
