Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.00,0.00,0.01,0.01
MNG,0.46,0.05,0.01,0.01
OPM,0.01,0.00,0.01,0.01
RBM,0.00,0.00,0.01,0.01
SHB,0.02,0.01,0.01,0.01
RPD,0.31,0.04,0.01,0.01
BUA,0.17,0.37,0.01,0.01
WTR,0.30,0.21,0.01,0.01
