Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 6, distance/distance_to_6, static_var/Acc00, 1340311.31794462, 0.21034639991689, 0.643813495336836, 4.99588788087019, 0.13217310988742, 
3, 6, distance/distance_to_6, static_var/Acc15, 1323090.4227071, 0.208990720825967, 0.641374265739196, 4.09311448460245, 0.163632420451579, 
3, 6, distance/distance_to_6, static_var/BD000, 191713.307009675, 0.0821623272511709, 0.303230920527155, 3.56269424787286, 0.0297579667937798, 
3, 6, distance/distance_to_6, static_var/Bio01, 1184674.15172656, 0.39551384720213, 0.620394832146668, 3.29400965729951, 0.187246226874758, 
3, 6, distance/distance_to_6, static_var/Bio02, 494304.474230044, 0.161580706639461, 0.455006525174154, 4.199460491737, 0.0646701294682376, 
3, 6, distance/distance_to_6, static_var/Bio03, 330926.450394428, 0.132208072271887, 0.385725099415618, 3.96334931008815, 0.0445614042087, 
3, 6, distance/distance_to_6, static_var/Bio04, 692376.183958134, 0.15118311918981, 0.517470290177124, 4.90308517873217, 0.0700129676646702, 
3, 6, distance/distance_to_6, static_var/Bio05, 629014.845090399, 0.257773149447012, 0.499381285703642, 3.2908306405052, 0.104111227013482, 
3, 6, distance/distance_to_6, static_var/Bio06, 782194.282223774, 0.203258890589036, 0.540700392262443, 4.00888480986717, 0.106196408966095, 
3, 6, distance/distance_to_6, static_var/Bio07, 549339.636854421, 0.139080765010802, 0.474233554411457, 4.46343550101216, 0.065756761683651, 
3, 6, distance/distance_to_6, static_var/Bio08, 1019123.6963675, 0.328110916597378, 0.591544525407533, 3.47006687766397, 0.161999394885959, 
3, 6, distance/distance_to_6, static_var/Bio09, 988946.861164667, 0.273167916681029, 0.585763317941351, 3.84117701658593, 0.138471659515404, 
3, 6, distance/distance_to_6, static_var/Bio10, 1186846.64959934, 0.354082558135581, 0.62074439302895, 3.5248134401327, 0.178726666522363, 
3, 6, distance/distance_to_6, static_var/Bio11, 1027594.68625796, 0.300765163451462, 0.593135939061607, 3.74822100067228, 0.147238753361848, 
3, 6, distance/distance_to_6, static_var/Bio12, 260599.350413248, 0.0927510650818228, 0.347836919025076, 5.35294671143687, 0.0246912152745064, 
3, 6, distance/distance_to_6, static_var/Bio13, 242380.323756176, 0.0992359968853366, 0.336885474486301, 4.58763613542826, 0.0272967542383066, 
