Transition level Intensity Analysis for interval:  1996 - 2007 
"","Annual Transition Size for Gain of Bare Ground","Transition Intensity for Gain of  Bare Ground","Uniform Transition Intensity","Transition Behavior for Gain of  Bare Ground"
"Built-up Area","0.545454545454545","0.0015495867768595","0.000238474419447864","Target"
"Forest","10.6363636363636","6.98328732222386e-06","0.000238474419447864","Avoid"
"Mangrove","40.9090909090909","0.000212941747655511","0.000238474419447864","Avoid"
"Oil Palm","0.909090909090909","4.44695450320848e-05","0.000238474419447864","Avoid"
"Rice Paddy","136","0.00175495193238273","0.000238474419447864","Target"
"Rubber","0.636363636363636","2.65871584024916e-05","0.000238474419447864","Avoid"
"Shrub/Orchard","3","0.000101670789982038","0.000238474419447864","Avoid"
"Water Body","257","0.0138866374885179","0.000238474419447864","Target"

"","Annual Transition Size for Gain of Built-up Area","Transition Intensity for Gain of  Built-up Area","Uniform Transition Intensity","Transition Behavior for Gain of  Built-up Area"
"Bare Ground","6.45454545454545","0.0026068438830959","4.67165175253885e-05","Target"
"Forest","1.72727272727273","1.13403811215601e-06","4.67165175253885e-05","Avoid"
"Mangrove","33.3636363636364","0.000173665825310161","4.67165175253885e-05","Target"
"Oil Palm","0.545454545454545","2.66817270192509e-05","4.67165175253885e-05","Avoid"
"Rice Paddy","29","0.000374217691463965","4.67165175253885e-05","Target"
"Rubber","0","0","4.67165175253885e-05","Avoid"
"Shrub/Orchard","14.5454545454545","0.000492949284761397","4.67165175253885e-05","Target"
"Water Body","2.54545454545455","0.00013754009539388","4.67165175253885e-05","Target"

"","Annual Transition Size for Gain of Forest","Transition Intensity for Gain of  Forest","Uniform Transition Intensity","Transition Behavior for Gain of  Forest"
"Bare Ground","0.181818181818182","7.34322220590395e-05","0.00889333209406449","Avoid"
"Built-up Area","0","0","0.00889333209406449","Avoid"
"Mangrove","598.545454545455","0.00311557437014197","0.00889333209406449","Avoid"
"Oil Palm","537","0.0262681602504525","0.00889333209406449","Target"
"Rice Paddy","230.636363636364","0.00297614508853944","0.00889333209406449","Avoid"
"Rubber","710.727272727273","0.029694057770097","0.00889333209406449","Target"
"Shrub/Orchard","1129.72727272727","0.0382867547608118","0.00889333209406449","Target"
"Water Body","37.7272727272727","0.00203854069958787","0.00889333209406449","Avoid"

"","Annual Transition Size for Gain of Mangrove","Transition Intensity for Gain of  Mangrove","Uniform Transition Intensity","Transition Behavior for Gain of  Mangrove"
"Bare Ground","36.6363636363636","0.0147965927448965","0.000449176140518207","Target"
"Built-up Area","6.18181818181818","0.0175619834710744","0.000449176140518207","Target"
"Forest","159.272727272727","0.00010457025118407","0.000449176140518207","Avoid"
"Oil Palm","40.2727272727273","0.00197000084492136","0.000449176140518207","Target"
"Rice Paddy","312.909090909091","0.00403779715993407","0.000449176140518207","Target"
"Rubber","7","0.000292458742427408","0.000449176140518207","Avoid"
"Shrub/Orchard","23.5454545454545","0.000797961654707512","0.000449176140518207","Target"
"Water Body","175.909090909091","0.00950500302096995","0.000449176140518207","Target"

"","Annual Transition Size for Gain of Oil Palm","Transition Intensity for Gain of  Oil Palm","Uniform Transition Intensity","Transition Behavior for Gain of  Oil Palm"
"Bare Ground","2.27272727272727","0.000917902775737994","0.00447865898523809","Avoid"
"Built-up Area","0.363636363636364","0.00103305785123967","0.00447865898523809","Avoid"
"Forest","5299.36363636364","0.00347928861431107","0.00447865898523809","Avoid"
"Mangrove","2146.27272727273","0.0111718704897755","0.00447865898523809","Target"
"Rice Paddy","304.181818181818","0.00392517992363144","0.00447865898523809","Avoid"
"Rubber","343.545454545455","0.0143532673718594","0.00447865898523809","Target"
"Shrub/Orchard","249.818181818182","0.008466403965777","0.00447865898523809","Target"
"Water Body","18.0909090909091","0.000977517106549365","0.00447865898523809","Avoid"

"","Annual Transition Size for Gain of Rice Paddy","Transition Intensity for Gain of  Rice Paddy","Uniform Transition Intensity","Transition Behavior for Gain of  Rice Paddy"
"Bare Ground","46.1818181818182","0.018651784402996","0.00172518540207033","Target"
"Built-up Area","7.27272727272727","0.0206611570247934","0.00172518540207033","Target"
"Forest","1399.81818181818","0.000919048360577803","0.00172518540207033","Avoid"
"Mangrove","964.727272727273","0.00502163961360064","0.00172518540207033","Target"
"Oil Palm","39.2727272727273","0.00192108434538606","0.00172518540207033","Target"
"Rubber","150","0.00626697305201588","0.00172518540207033","Target"
"Shrub/Orchard","480.454545454545","0.0162827310622749","0.00172518540207033","Target"
"Water Body","35.6363636363636","0.00192556133551433","0.00172518540207033","Target"

"","Annual Transition Size for Gain of Rubber","Transition Intensity for Gain of  Rubber","Uniform Transition Intensity","Transition Behavior for Gain of  Rubber"
"Bare Ground","0","0","0.00222550383895998","Avoid"
"Built-up Area","0","0","0.00222550383895998","Avoid"
"Forest","2987.18181818182","0.00196122938564918","0.00222550383895998","Avoid"
"Mangrove","509.636363636364","0.00265278097190399","0.00222550383895998","Target"
"Oil Palm","114","0.00557648094702343","0.00222550383895998","Target"
"Rice Paddy","232.727272727273","0.00300312630140361","0.00222550383895998","Target"
"Shrub/Orchard","303.454545454545","0.0102841544533346","0.00222550383895998","Target"
"Water Body","1.36363636363636","7.36821939610074e-05","0.00222550383895998","Avoid"

"","Annual Transition Size for Gain of Shrub/Orchard","Transition Intensity for Gain of  Shrub/Orchard","Uniform Transition Intensity","Transition Behavior for Gain of  Shrub/Orchard"
"Bare Ground","0.454545454545455","0.000183580555147599","0.00160173525885287","Avoid"
"Built-up Area","0","0","0.00160173525885287","Avoid"
"Forest","2372.45454545455","0.0015576311901545","0.00160173525885287","Avoid"
