Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,1.04,0.52,1.54
MNG,1.18,0.94,1.54
OPM,3.56,4.24,1.54
RBM,3.80,4.66,1.54
SHB,1.86,1.78,1.54
RPD,3.10,3.18,1.54
BUA,4.51,3.57,1.54
BSG,4.07,1.83,1.54
WTR,1.88,1.16,1.54
