Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.03,0.22,0.11,0.43
MNG,0.00,0.01,0.11,0.43
OPM,0.03,0.69,0.11,0.43
SHB,0.29,0.98,0.11,0.43
RPD,0.01,0.14,0.11,0.43
BUA,0.00,0.00,0.11,0.43
BSG,0.00,0.06,0.11,0.43
WTR,0.00,0.00,0.11,0.43
