Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.10,0.17,0.10,0.22
MNG,0.00,0.21,0.10,0.22
RBM,0.20,0.07,0.10,0.22
SHB,0.10,0.36,0.10,0.22
RPD,0.00,0.05,0.10,0.22
BUA,0.00,0.00,0.10,0.22
BSG,0.01,0.04,0.10,0.22
WTR,0.02,0.08,0.10,0.22
