Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 6, distance/distance_to_6, 0, 500, 58105, 5863, 2.30697985110986, 2.74217628796159, 1, 
3, 6, distance/distance_to_6, 500, 1000, 89805, 2893, 1.09160311570014, 1.23301895252535, 1, 
3, 6, distance/distance_to_6, 1000, 1500, 96441, 1758, 0.507847531643424, 0.557376837298578, 1, 
3, 6, distance/distance_to_6, 1500, 2000, 81273, 1034, 0.142630297324695, 0.152057494146453, 1, 
3, 6, distance/distance_to_6, 2000, 2500, 76873, 808, -0.0505762561738192, -0.0534246242210105, 0, 
3, 6, distance/distance_to_6, 2500, 3000, 65091, 555, -0.261805170668061, -0.272947518818642, 1, 
3, 6, distance/distance_to_6, 3000, 4500, 161989, 1100, -0.491199304210299, -0.54070538183226, 1, 
3, 6, distance/distance_to_6, 4500, 5000, 45208, 213, -0.858809283556309, -0.877888804117603, 1, 
3, 6, distance/distance_to_6, 5000, 5500, 41553, 261, -0.569698446060473, -0.582895492621032, 1, 
3, 6, distance/distance_to_6, 5500, 8000, 185614, 853, -0.883853627262833, -0.969907937979518, 1, 
3, 6, distance/distance_to_6, 8000, 8500, 32101, 31, -2.44748388599974, -2.4688090536737, 1, 
3, 6, distance/distance_to_6, 8500, 40000, 472723, 176, -3.40120329462804, -3.80481877924356, 1, 
3, 6, static_var/Acc00, 0, 10, 5479, 99, 0.498881399181074, 0.501395797195106, 1, 
3, 6, static_var/Acc00, 10, 30, 2349, 206, 2.15211937551832, 2.16391826422914, 1, 
3, 6, static_var/Acc00, 30, 40, 3069, 89, 0.983162992435004, 0.986760473215337, 1, 
3, 6, static_var/Acc00, 40, 50, 3977, 155, 1.28910119432134, 1.29637130215242, 1, 
3, 6, static_var/Acc00, 50, 60, 5621, 69, 0.106398204612934, 0.106848116766776, 0, 
3, 6, static_var/Acc00, 60, 70, 6269, 103, 0.402128581985855, 0.404334658825053, 1, 
3, 6, static_var/Acc00, 70, 90, 13752, 329, 0.78553802048005, 0.797234421974902, 1, 
3, 6, static_var/Acc00, 90, 100, 5870, 209, 1.19518362013047, 1.20464229848838, 1, 
3, 6, static_var/Acc00, 100, 110, 7283, 413, 1.68273340994695, 1.7047104412894, 1, 
3, 6, static_var/Acc00, 110, 220, 88758, 3332, 1.25012742239906, 1.4279962498233, 1, 
3, 6, static_var/Acc00, 220, 230, 15438, 370, 0.787379639028653, 0.800579570660642, 1, 
3, 6, static_var/Acc00, 230, 360, 178934, 3389, 0.54684467453239, 0.657880402771954, 1, 
3, 6, static_var/Acc00, 360, 370, 12327, 153, 0.11758531454088, 0.118687429654496, 0, 
3, 6, static_var/Acc00, 370, 390, 26681, 266, -0.103985798614403, -0.105895437389172, 0, 
3, 6, static_var/Acc00, 390, 400, 12782, 215, 0.426013620714833, 0.430866918911103, 1, 
3, 6, static_var/Acc00, 400, 410, 12277, 119, -0.132413972994824, -0.133506759405948, 0, 
3, 6, static_var/Acc00, 410, 420, 14652, 330, 0.723745761095955, 0.734855186396069, 1, 
3, 6, static_var/Acc00, 420, 430, 11810, 145, 0.106590760167359, 0.107542284479871, 0, 
3, 6, static_var/Acc00, 430, 450, 26628, 547, 0.62969164576052, 0.646589176370482, 1, 
3, 6, static_var/Acc00, 450, 550, 122681, 2008, 0.398259996063643, 0.445839569694286, 1, 
3, 6, static_var/Acc00, 550, 560, 11394, 144, 0.135895094145749, 0.137082459507633, 0, 
3, 6, static_var/Acc00, 560, 570, 9807, 172, 0.468542098167301, 0.472718803668824, 1, 
3, 6, static_var/Acc00, 570, 670, 101516, 1395, 0.220720162947567, 0.240057929140121, 1, 
3, 6, static_var/Acc00, 670, 680, 9528, 60, -0.567123206209459, -0.570084722808861, 1, 
3, 6, static_var/Acc00, 680, 690, 8439, 40, -0.852783273809376, -0.856262179332267, 1, 
3, 6, static_var/Acc00, 690, 700, 8460, 108, 0.146080119204114, 0.147030528677619, 0, 
3, 6, static_var/Acc00, 700, 710, 9769, 55, -0.679785035470905, -0.683247442349163, 1, 
3, 6, static_var/Acc00, 710, 720, 8500, 31, -1.11597531023414, -1.12008512730966, 1, 
3, 6, static_var/Acc00, 720, 770, 41635, 219, -0.748145626562922, -0.764178736308444, 1, 
3, 6, static_var/Acc00, 770, 790, 16502, 120, -0.422241505091187, -0.426337091196557, 1, 
3, 6, static_var/Acc00, 790, 800, 6543, 22, -1.19753536183257, -1.20081734866371, 1, 
3, 6, static_var/Acc00, 800, 810, 8210, 43, -0.752451605462399, -0.75556924871885, 1, 
3, 6, static_var/Acc00, 810, 900, 65935, 268, -1.00715961246809, -1.03811993582399, 1, 
3, 6, static_var/Acc00, 900, 910, 6333, 19, -1.31188048774918, -1.31520623890712, 1, 
3, 6, static_var/Acc00, 910, 920, 6443, 26, -1.01440425752672, -1.01735342584448, 1, 
3, 6, static_var/Acc00, 920, 930, 6552, 0, -18.439019957844, 0, 0, 
3, 6, static_var/Acc00, 930, 940, 6007, 19, -1.25886856417076, -1.26195894986136, 1, 
3, 6, static_var/Acc00, 940, 950, 6761, 42, -0.580819792434467, -0.582955538258603, 1, 
3, 6, static_var/Acc00, 950, 960, 6660, 6, -2.51700878514805, -2.52141702334469, 1, 
3, 6, static_var/Acc00, 960, 970, 6277, 12, -1.76362201533985, -1.76736314096429, 1, 
3, 6, static_var/Acc00, 970, 980, 6044, 0, -18.358315656529, 0, 0, 
3, 6, static_var/Acc00, 980, 1000, 13167, 45, -1.18117779793219, -1.18775547546921, 1, 
3, 6, static_var/Acc00, 1000, 1010, 5778, 3, -3.06847604451957, -3.07244267719845, 1, 
3, 6, static_var/Acc00, 1010, 1020, 6172, 36, -0.644204202388667, -0.646305896841425, 1, 
3, 6, static_var/Acc00, 1020, 1030, 6007, 7, -2.25939939695256, -2.26327104396546, 1, 
3, 6, static_var/Acc00, 1030, 2770, 441700, 107, -3.83110988570589, -4.20606623109186, 1, 
3, 6, static_var/BD000, 0, 50, 3646, 81, 0.709735024026357, 0.712393558021991, 1, 
3, 6, static_var/BD000, 50, 55, 230, 1, -0.939516801351925, -0.939617085892448, 0, 
3, 6, static_var/BD000, 55, 60, 402, 9, 0.717620167669273, 0.717916776082817, 1, 
3, 6, static_var/BD000, 60, 75, 3752, 126, 1.134601717839, 1.14013051888047, 1, 
3, 6, static_var/BD000, 75, 80, 2815, 141, 1.55163433491859, 1.5588222741623, 1, 
3, 6, static_var/BD000, 80, 95, 24151, 771, 1.08225734073958, 1.11617943355255, 1, 
3, 6, static_var/BD000, 95, 100, 24553, 461, 0.537968131035351, 0.550603863508018, 1, 
3, 6, static_var/BD000, 100, 105, 56773, 845, 0.301721401367667, 0.316582216754195, 1, 
3, 6, static_var/BD000, 105, 120, 824490, 10128, 0.107104083014372, 0.280971928472584, 1, 
3, 6, static_var/BD000, 120, 125, 245201, 1620, -0.518818184631305, -0.601237520300997, 1, 
3, 6, static_var/BD000, 125, 175, 220763, 1362, -0.587741695786249, -0.667669053879557, 1, 
3, 6, static_var/Bio03, 0, 465, 75714, 130, -1.87126024689914, -1.91872267161837, 1, 
3, 6, static_var/Bio03, 465, 470, 3531, 107, 1.02846929940259, 1.0329121770798, 1, 
3, 6, static_var/Bio03, 470, 475, 2750, 528, 3.057138515709, 3.09009624302354, 1, 
3, 6, static_var/Bio03, 475, 480, 46596, 2556, 1.64755042686312, 1.79501934217884, 1, 
3, 6, static_var/Bio03, 480, 485, 233961, 3957, 0.431594664529286, 0.544651866108497, 1, 
3, 6, static_var/Bio03, 485, 490, 332575, 4612, 0.229966007465981, 0.313077530028192, 1, 
3, 6, static_var/Bio03, 490, 495, 333586, 2076, -0.579009807577497, -0.707844813482732, 1, 
3, 6, static_var/Bio03, 495, 500, 225803, 806, -1.13755340305539, -1.26072061423031, 1, 
3, 6, static_var/Bio03, 500, 505, 108876, 771, -0.448964680261007, -0.478984194449677, 1, 
3, 6, static_var/Bio03, 505, 510, 35275, 2, -5.28352069497365, -5.3090727791074, 1, 
3, 6, static_var/Bio03, 510, 520, 8109, 0, -18.6522241653705, 0, 0, 
3, 6, static_var/Bio05, 0, 300, 620279, 277, -3.21925527443287, -3.79123426519439, 1, 
3, 6, static_var/Bio05, 300, 305, 247930, 2592, -0.0560018709266431, -0.0675949699988243, 1, 
3, 6, static_var/Bio05, 305, 310, 266877, 3701, 0.229985245723148, 0.292208823016066, 1, 
3, 6, static_var/Bio05, 310, 315, 196777, 5808, 1.00133036851577, 1.321487249595, 1, 
3, 6, static_var/Bio05, 315, 320, 61890, 3037, 1.5300325787986, 1.70417953162581, 1, 
3, 6, static_var/Bio05, 320, 325, 11714, 111, -0.155283560832897, -0.156492454475997, 0, 
3, 6, static_var/Bio05, 325, 330, 1309, 19, 0.276246684013037, 0.276542023007947, 0, 
3, 6, static_var/Bio07, 0, 40, 8120, 37, -0.892395254887305, -0.895839137220856, 1, 
3, 6, static_var/Bio07, 40, 45, 18888, 2, -4.65882380306075, -4.67236314736225, 1, 
3, 6, static_var/Bio07, 45, 60, 50462, 1133, 0.720562040847985, 0.760138935289651, 1, 
3, 6, static_var/Bio07, 60, 65, 43363, 1976, 1.45231297966991, 1.55806430750365, 1, 
3, 6, static_var/Bio07, 65, 75, 85944, 2195, 0.852563018394067, 0.942699860459408, 1, 
3, 6, static_var/Bio07, 75, 80, 95608, 511, -0.73207790988856, -0.769456148217105, 1, 
3, 6, static_var/Bio07, 80, 85, 94755, 1097, 0.0471345338010215, 0.0506242104238608, 0, 
3, 6, static_var/Bio07, 85, 90, 125198, 2597, 0.639626954807228, 0.730173273577134, 1, 
3, 6, static_var/Bio07, 90, 105, 433185, 5693, 0.175506977419836, 0.264447806023253, 1, 
3, 6, static_var/Bio07, 105, 110, 148634, 134, -2.51629523507167, -2.62051532124362, 1, 
3, 6, static_var/Bio07, 110, 135, 302619, 170, -2.98966430794539, -3.22379740460148, 1, 
3, 6, static_var/Bio12, 0, 1200, 2104, 68, 1.09497052970801, 1.09788999824473, 1, 
3, 6, static_var/Bio12, 1200, 1400, 9466, 135, 0.258382511406722, 0.260375302681822, 1, 
3, 6, static_var/Bio12, 1400, 1500, 11867, 0, -19.0330110455789, 0, 0, 
3, 6, static_var/Bio12, 1500, 1700, 43212, 46, -2.34996182862751, -2.37851702665044, 1, 
3, 6, static_var/Bio12, 1700, 1800, 32252, 149, -0.878553254547337, -0.892267595553182, 1, 
3, 6, static_var/Bio12, 1800, 1900, 39847, 819, 0.630254669827543, 0.655925221939535, 1, 
3, 6, static_var/Bio12, 1900, 2000, 50081, 559, 0.0101823810923657, 0.0105602004297383, 0, 
3, 6, static_var/Bio12, 2000, 2500, 248833, 2302, -0.179504233722619, -0.21428067394533, 1, 
3, 6, static_var/Bio12, 2500, 3300, 381673, 4219, 0.000354628384911598, 0.000486697351383488, 0, 
3, 6, static_var/Bio12, 3300, 3400, 36795, 524, 0.256923083631169, 0.264795871995803, 1, 
3, 6, static_var/Bio12, 3400, 3600, 65706, 1163, 0.477876407393955, 0.508134670394433, 1, 
