Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.01,0.01
MNG,0.05,0.00,0.01,0.01
OPM,0.00,0.00,0.01,0.01
RBM,0.01,0.00,0.01,0.01
SHB,0.06,0.07,0.01,0.01
BUA,0.00,0.03,0.01,0.01
BSG,0.05,0.24,0.01,0.01
WTR,0.00,0.00,0.01,0.01
