Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.03,0.22,0.09,0.31
MNG,0.00,0.01,0.09,0.31
OPM,0.01,0.30,0.09,0.31
SHB,0.42,1.09,0.09,0.31
RPD,0.03,0.22,0.09,0.31
BUA,0.00,0.00,0.09,0.31
BSG,0.00,0.02,0.09,0.31
WTR,0.00,0.00,0.09,0.31
