Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,1.23,0.70,1.71
MNG,1.16,0.92,1.71
OPM,3.42,4.20,1.71
RBM,3.75,4.66,1.71
SHB,1.82,1.63,1.71
RPD,3.10,3.18,1.71
BUA,4.48,3.66,1.71
BSG,4.12,1.81,1.71
WTR,1.88,1.14,1.71
