"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",405901,6523,2,32674,14,107531,0,199,82432
"BUA",19290,2685,7,1670,3,14944,0,73,5429
"FOR",760,33771,23147916,68538,287817,391318,121060,2238771,1458
"MNG",191470,84973,39363,1738096,66436,1201037,11780,425199,67039
"OPM",9,40,26048,1998,16474,1855,2648,4360,0
"RPD",525854,63250,10066,92891,8759,5911719,1605,71905,105279
"RBR",25,1229,250449,1615,32584,92151,81243,101293,14
"SHB",16796,16026,57853,15778,3993,343172,4057,317242,5157
"WTR",117775,3642,102,24718,22,17586,1,20,512105
