"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",535480,724,217,34236,51,456029,3,47,251093
"BUA",8972,8761,22091,8105,7554,127860,2786,14838,11172
"FOR",697,140,23124641,2616,60016,30402,143908,167906,1480
"MNG",24028,648,26193,1184104,80961,491731,5979,44878,119456
"OPM",44,36,73123,6821,205357,40028,68719,21806,168
"RPD",200206,6083,217458,181357,105169,7013846,73409,164580,119205
"RBR",62,12,83813,707,35917,14866,77423,9422,172
"SHB",3281,303,1194550,17219,411091,424696,124752,977439,5731
"WTR",67335,140,93,18871,47,62681,3,24,629719
